"","idle","ready","ident","stby","tran","data","rcv","prg","dis","ina"
"current state","","","","","","","","","",""
"Operation Complete","-","-","-","-","-","tran","-","tran","stby","-"
"class 0","","","","","","","","","",""
"CMD0","idle","idle","idle","idle","idle","idle","idle","idle","idle","-"
"CMD2","-","ident","-","-","-","-","-","-","-","-"
"CMD3","-","-","stby","stby","-","-","-","-","-","-"
"CMD4","-","-","-","stby","-","-","-","-","-","-"
"CMD7, card is addressed","-","-","-","tran","-","-","-","-","prg","-"
"CMD7, card is not addressed","-","-","-","stby","stby","stby","-","dis","-","-"
"CMD8","idle","-","-","-","-","-","-","-","-","-"
"CMD9","-","-","-","stby","-","-","-","-","-","-"
"CMD10","-","-","-","stby","-","-","-","-","-","-"
"CMD11","-","ready","-","-","-","-","-","-","-","-"
"CMD12","-","-","-","-","-","tran","prg","-","-","-"
"CMD13","-","-","-","stby","tran","data","rcv","prg","dis","-"
"CMD15","-","-","-","ina","ina","ina","ina","ina","ina","-"
"class 2","","","","","","","","","",""
"CMD16","-","-","-","-","tran","-","-","-","-","-"
"CMD17","-","-","-","-","data","-","-","-","-","-"
"CMD18","-","-","-","-","data","-","-","-","-","-"
"CMD19","-","-","-","-","data","-","-","-","-","-"
"CMD20","-","-","-","-","prg","-","-","-","-","-"
"CMD23","-","-","-","-","tran","-","-","-","-","-"
"class 4","","","","","","","","","",""
"CMD16","","","","","see class 2","","","","",""
"CMD20","-","-","-","-","prg","-","-","-","-","-"
"CMD23","-","-","-","-","tran","-","-","-","-","-"
"CMD24","-","-","-","-","rcv","-","-","-","-","-"
"CMD25","-","-","-","-","rcv","-","-","-","-","-"
"CMD27","-","-","-","-","rcv","-","-","-","-","-"
"class 6","","","","","","","","","",""
"CMD28","-","-","-","-","prg","-","-","-","-","-"
"CMD29","-","-","-","-","prg","-","-","-","-","-"
"CMD30","-","-","-","-","data","-","-","-","-","-"
"class 5","","","","","","","","","",""
"CMD32","-","-","-","-","tran","-","-","-","-","-"
