Name,Field,Size (Bytes),Cell Type,CSD-slice
Extended Security Commands Error,EXT_SECURITY_ERR,1,R,[505]
Supported Command Sets,S_CMD_SET,1,R,[504]
HPI features,HPI_FEATURES,1,R,[503]
Background operations support,BKOPS_SUPPORT,1,R,[502]
Max packed read commands,MAX_PACKED_READS,1,R,[501]
Max packed write commands,MAX_PACKED_WRITES,1,R,[500]
Data Tag Support,DATA_TAG_SUPPORT,1,R,[499]
Tag Unit Size,TAG_UNIT_SIZE,1,R,[498]
Tag Resources Size,TAG_RES_SIZE,1,R,[497]
Context management capabilities,CONTEXT_CAPABILITIES,1,R,[496]
Large Unit size,LARGE_UNIT_SIZE_M1,1,R,[495]
Extended partitions attribute support,EXT_SUPPORT,1,R,[494]
Cache size,CACHE_SIZE,4,R,[252:249]
Generic CMD6 timeout,GENERIC_CMD6_TIME,1,R,[248]
Power off notification(long) timeout,POWER_OFF_LONG_TIME,1,R,[247]
Background operations status,BKOPS_STATUS,1,R,[246]
Number of correctly programmed sectors  CORRECTLY_PRG_SECT,ORS_NUM,4,R,[245:242]
1st initialization time after partitioning,INI_TIMEOUT_AP,1,R,[241]
"Power class for 52MHz, DDR at 3.6V",PWR_CL_DDR_52_360,1,R,[239]
"Power class for 52MHz, DDR at 1.95V",PWR_CL_DDR_52_195,1,R,[238]
Power class for 200MHz  at 1.95V,PWR_CL_200_195,1,R,[237]
"Power class for 200MHz, at 1.3V",PWR_CL_200_130,1,R,[236]
52MHz in DDR mode,MIN_PERF_DDR_W_8_52,1,R,[235]
52MHz in DDR mode,MIN_PERF_DDR_R_8_52,1,R,[234]
TRIM Multiplier,TRIM_MULT,1,R,[232]
Secure Feature support,SEC_FEATURE_SUPPORT,1,R,[231]
Secure Erase Multiplier,SEC_ERASE_MULT,1,R,[230]
Secure TRIM Multiplier,SEC_TRIM_MULT,1,R,[229]
Boot information,BOOT_INFO,1,R,[228]
Boot partition size,BOOT_SIZE_MULTI,1,R,[226]
Access size,ACC_SIZE,1,R,[225]
High-capacity erase unit size,HC_ERASE_GRP_SIZE,1,R,[224]
High-capacity erase timeout,ERASE_TIMEOUT_MULT,1,R,[223]
Reliable write sector count,REL_WR_SEC_C,1,R,[222]
High-capacity write protect group size,HC_WP_GRP_SIZE,1,R,[221]
Sleep current (VCC),S_C_VCC,1,R,[220]
Sleep current (VCCQ),S_C_VCCQ,1,R,[219]
Sleep/awake timeout,S_A_TIMEOUT,1,R,[217]
Sector Count,SEC_COUNT,4,R,[215:212]
52MHz,MIN_PERF_W_8_52,1,R,[210]
52MHz,MIN_PERF_R_8_52,1,R,[209]
"26MHz, for 4bit at 52MHz",MIN_PERF_W_8_26_4_52,1,R,[208]
"26MHz, for 4bit at 52MHz",MIN_PERF_R_8_26_4_52,1,R,[207]
26MHz,MIN_PERF_W_4_26,1,R,[206]
26MHz,MIN_PERF_R_4_26,1,R,[205]
Power class for 26MHz at 3.6V 1 R,PWR_CL_26_360,1,R,[203]
Power class for 52MHz at 3.6V 1 R,PWR_CL_52_360,1,R,[202]
Power class for 26MHz at 1.95V 1 R,PWR_CL_26_195,1,R,[201]
Power class for 52MHz at 1.95V 1 R,PWR_CL_52_195,1,R,[200]
,PARTITION_SWITCH_TIME,1,R,[199]
Out-of-interrupt busy timing,OUT_OF_INTERRUPT_TIME,1,R,[198]
I/O Driver Strength,DRIVER_STRENGTH,1,R,[197]
Extended CSD revision,EXT_CSD_REV,1,R,[192]
Command set,CMD_SET,1,R/W/E_P,[191]
Command set revision,CMD_SET_REV,1,R,[189]
Power class,POWER_CLASS,1,R/W/E_P,[187]
High-speed interface timing,HS_TIMING,1,R/W/E_P,[185]
Bus width mode,BUS_WIDTH,1,W/E_P,[183]
Erased memory content,ERASED_MEM_CONT,1,R,[181]
Boot bus Conditions,BOOT_BUS_CONDITIONS,1,R/W/E,[177]
High-density erase group definition,ERASE_GROUP_DEF,1,R/W/E_P,[175]
Boot write protection status registers,BOOT_WP_STATUS,1,R,[174]
FW configuration,FW_CONFIG,1,R/W,[169]
Start Sanitize operation,SANITIZE_START,1,W/E_P,[165]
Manually start background operations,BKOPS_START,1,W/E_P,[164]
HPI management,HPI_MGMT,1,R/W/E_P,[161]
Partitioning Support,PARTITIONING_SUPPORT,1,R,[160]
Max Enhanced Area Size,MAX_ENH_SIZE_MULT,3,R,[159:157]
Partitions attribute,PARTITIONS_ATTRIBUTE,1,R/W,[156]
PARTITION_SETTING_,COMPLETED,1,R/W,[155]
General Purpose Partition Size,GP_SIZE_MULT,12,R/W,[154:143]
Enhanced User Data Area Size,ENH_SIZE_MULT,3,R/W,[142:140]
Enhanced User Data Start Address,ENH_START_ADDR,4,R/W,[139:136]
Bad Block Management mode,SEC_BAD_BLK_MGMNT,1,R/W,[134]
Package Case Temperature is controlled,TCASE_SUPPORT,1,W/E_P,[132]
Periodic Wake-up,PERIODIC_WAKEUP,1,R/W/E,[131]
support,PROGRAM_CID_CSD_DDR_SUPPORT,1,R,[130]
Native sector size,NATIVE_SECTOR_SIZE,1,R,[63]
Sector size emulation,USE_NATIVE_SECTOR,1,R/W,[62]
Sector size,DATA_SECTOR_SIZE,1,R,[61]
size emulation,INI_TIMEOUT_EMU,1,R,[60]
Class 6 commands control,CLASS_6_CTRL,1,R/W/E_P,[59]
Released,DYNCAP_NEEDED,1,R,[58]
Exception events control,EXCEPTION_EVENTS_CTRL,2,R/W/E_P,[57:56]
Exception events status,EXCEPTION_EVENTS_STATUS,2,R,[55:54]
Extended Partitions Attribute,EXT_PARTITIONS_ATTRIBUTE,2,R/W,[53:52]
