Location,Attrib,Register Field Explanation
23,HwInit,"Suspend/Resume Support
This bit indicates whether the Host Controller supports Suspend / Resume functionality.
If this bit is 0, the Host Driver shall not issue either Suspend or Resume commands because the Suspend and Resume mechanism (Refer to Section 1.6) is not supported.

1  Supported
0  Not Supported"

22,HwInit,"SDMA Support
This bit indicates whether the Host Controller is capable of using SDMA to transfer data between system memory and the Host Controller directly.

1  SDMA Supported
0  SDMA not Supported"

21,HwInit,"High Speed Support
This bit indicates whether the Host Controller and the Host System support High Speed mode and they can supply SD Clock frequency from 25MHz to 50MHz.

1  High Speed Supported
0  High Speed not Supported"

20,HwInit,"Reserved (New assignment is not allowed)
This bit is reserved for backward compatibility with prior specifications.
If set, the Host Controller is indicating that it supports legacy ADMA1 mode.
Host drivers are not required to support this mode."

19,HwInit,"ADMA2 Support
This bit indicates whether the Host Controller is capable of using ADMA2.

1  ADMA2 Supported
0  ADMA2 not Supported"

18,HwInit,"8-bit Support for Embedded Device
This bit indicates whether the Host Controller is capable of using 8-bit bus width mode.
This bit is not effective when Slot Type is set to 10b.
In this case, refer to Bus Width Preset in the Shared Bus resister.

1  8-bit Bus Width Supported
0  8-bit Bus Width not Supported"

17-16,HwInit,"Max Block Length
This value indicates the maximum block size that the Host Driver can read and write to the buffer in the Host Controller.
The buffer shall transfer this block size without wait cycles.
Three sizes can be defined as indicated below.
It is noted that transfer block length shall be always 512 bytes for SD Memory Cards regardless this field.

00  512(byte)
01  1024
10  2048
11  Reserved"

15-08,HwInit,Base Clock Frequency For SD Clock,"This value indicates the base (maximum) clock frequency for the SD Clock. Definition of this field depends on Host Controller Version.

(1) 6-bit Base Clock Frequency
This mode is supported by the Host Controller Version 1.00 and 2.00. Upper 2 bits are not effective and always 0. Unit values are 1MHz. The supported clock range is 10MHz to 63MHz.

11xx xxxxb | Not supported
0011 1111b | 63MHz
.......... | ............
0000 0010b | 2MHz
0000 0001b | 1MHz
0000 0000b | Get information via another method

(2) 8-bit Base Clock Frequency
This mode is supported by the Host Controller Version 3.00. Unit values are 1MHz. The supported clock range is 10MHz to 255MHz.

FFh | 255MHz
..... | ............
02h | 2MHz
01h | 1MHz
00h | Get information via another method

If the real frequency is 16.5MHz, the lager value shall be set 0001 0001b (17MHz) because the Host Driver use this value to calculate the clock divider value (Refer to the SDCLK Frequency Select in the Clock Control register.) and it shall not exceed upper limit of the SD Clock frequency. If these bits are all 0, the Host System has to get information via another method."
07,HwInit,Timeout Clock Unit,"This bit shows the unit of base clock frequency used to detect Data Timeout Error.

0 | KHz
1 | MHz"
06,Rsvd,Reserved,
05-00,HwInit,Timeout Clock Frequency,"This bit shows the base clock frequency used to detect Data Timeout Error. The Timeout Clock Unit defines the unit of this field's value.
Timeout Clock Unit =0 [KHz] unit: 1KHz to 63KHz
Timeout Clock Unit =1 [MHz] unit: 1MHz to 63MHz

Not 0 | 1KHz to 63KHz or 1MHz to 63MHz
00 0000b | Get information via another method"
