Location,Attrib,Register Field Explanation
15,RW,"Preset Value Enable
Host Controller Version 3.00 supports this bit.
As the operating SDCLK frequency and I/O driver strength depend on the Host System implementation, it is difficult to determine these parameters in the Standard Host Driver.
When Preset Value Enable is set, automatic SDCLK frequency generation and driver strength selection is performed without considering system specific conditions.
This bit enables the functions defined in the Preset Value registers.

1  Automatic Selection by Preset Value are Enabled
0  SDCLK and Driver Strength are controlled by Host Driver

If this bit is set to 0, SDCLK Frequency Select, Clock Generator Select in the Clock Control register and Driver Strength Select in Host Control 2 register are set by Host Driver.
If this bit is set to 1, SDCLK Frequency Select, Clock Generator Select in the Clock Control register and Driver Strength Select in Host Control 2 register are set by Host Controller as specified in the Preset Value registers."

14,RW,"Asynchronous Interrupt Enable
This bit can be set to 1 if a card supports asynchronous interrupts and Asynchronous Interrupt Support is set to 1 in the Capabilities register.
Asynchronous interrupt is effective when DAT[1] interrupt is used in 4-bit SD mode (and zero is set to Interrupt Pin Select in the Shared Bus Control register).
If this bit is set to 1, the Host Driver can stop the SDCLK during asynchronous interrupt period to save power.
During this period, the Host Controller continues to deliver the Card Interrupt to the host when it is asserted by the Card.

1  Enabled
0  Disabled"

13-08,Rsvd,"Reserved"

07,RW,"Sampling Clock Select
Host Controller uses this bit to select sampling clock to receive CMD and DAT.
This bit is set by tuning procedure and valid after the completion of tuning (when Execute Tuning is cleared).
Setting 1 means that tuning is completed successfully and setting 0 means that tuning is failed.
Writing 1 to this bit is meaningless and ignored.
A tuning circuit is reset by writing to 0.
This bit can be cleared with setting Execute Tuning.
Once the tuning circuit is reset, it will take time to complete tuning sequence.
Therefore, Host Driver should keep this bit to 1 to perform re-tuning sequence to compete re-tuning sequence in a short time.
Change of this bit is not allowed while the Host Controller is receiving response or a read data block.
Refer to Figure 2-29.

1  Tuned clock is used to sample data
0  Fixed clock is used to sample data"

06,RWAC,"Execute Tuning
This bit is set to 1 to start tuning procedure and automatically cleared when tuning procedure is completed.
The result of tuning is indicated to Sampling Clock Select.
Tuning procedure is aborted by writing 0.
Refer to Figure 2-29 for more detail about tuning procedure.

1  Execute Tuning
0  Not Tuned or Tuning Completed"

05-04,RW,"Driver Strength Select
Host Controller output driver in 1.8V signaling is selected by this bit.
In 3.3V signaling, this field is not effective.
This field can be set depends on Driver Type A, C and D support bits in the Capabilities register.

This bit depends on setting of Preset Value Enable.
If Preset Value Enable = 0, this field is set by Host Driver.
If Preset Value Enable = 1, this field is automatically set by a value specified in the one of Preset Value registers.

00b  Driver Type B is Selected (Default)
01b  Driver Type A is Selected
10b  Driver Type C is Selected
11b  Driver Type D is Selected"

03,RW,"1.8V Signaling Enable - This bit controls voltage regulator for I/O cell. 3.3V is supplied to the card regardless of signaling voltage. Setting this bit from 0 to 1 starts changing signal voltage from 3.3V to 1.8V. 1.8V regulator output shall be stable within 5ms. Host Controller clears this bit if switching to 1.8V signaling fails. Clearing this bit from 1 to 0 starts changing signal voltage from 1.8V to 3.3V. 3.3V regulator output shall be stable within 5ms. Host Driver can set this bit to 1 when Host Controller supports 1.8V signaling (One of support bits is set to 1: SDR50, SDR104 or DDR50 in the Capabilities register) and the card or device supports UHS-I (S18A=1. Refer to Bus Signal Voltage Switch Sequence in the Physical Layer Specification Version 3.0x). 1=1.8V Signaling, 0=3.3V Signaling"
02-00,RW,"UHS Mode Select - This field is used to select one of UHS-I modes and effective when 1.8V Signaling Enable is set to 1. If Preset Value Enable in the Host Control 2 register is set to 1, Host Controller sets SDCLK Frequency Select, Clock Generator Select in the Clock Control register and Driver Strength Select according to Preset Value registers. In this case, one of preset value registers is selected by this field. Host Driver needs to reset SD Clock Enable before changing this field to avoid generating clock glitch. After setting this field, Host Driver sets SD Clock Enable again. 000b=SDR12, 001b=SDR25, 010b=SDR50, 011b=SDR104, 100b=DDR50, 101b=Reserved, 110b=Reserved, 111b=Reserved. When SDR50, SDR104 or DDR50 is selected for SDIO card, interrupt detection at the block gap shall not be used. Read Wait timing is changed for these modes. Refer to the SDIO Specification Version 3.00 for more detail."
