Location,Attrib,Register Field Explanation
15-08,Rsvd,"Reserved"

07,ROC,"Command Not Issued By Auto CMD12 Error
Setting this bit to 1 means CMD_wo_DAT is not executed due to an Auto CMD12 Error (D04-D01) in this register.
This bit is set to 0 when Auto CMD Error is generated by Auto CMD23.

1  Not Issued
0  No error"

06-05,Rsvd,"Reserved"

04,ROC,"Auto CMD Index Error
This bit is set if the Command Index error occurs in response to a command.

1  Error
0  No error"

03,ROC,"Auto CMD End Bit Error
This bit is set when detecting that the end bit of command response is 0.

1  End Bit Error Generated
0  No error"

02,ROC,"Auto CMD CRC Error
This bit is set when detecting a CRC error in the command response.

1  CRC Error Generated
0  No error"

01,ROC,"Auto CMD Timeout Error
This bit is set if no response is returned within 64 SDCLK cycles from the end bit of command.
If this bit is set to 1, the other error status bits (D04-D02) are meaningless.

1  Time out
0  No error"

00,ROC,Auto CMD12 Not Executed
,,If memory multiple block data transfer is not started due to command error this bit is not set because it is not necessary to issue Auto CMD12. Setting this bit to 1 means the Host Controller cannot issue Auto CMD12 to stop memory multiple block data transfer due to some error. If this bit is set to 1 other error status bits (D04-D01) are meaningless. This bit is set to 0 when Auto CMD Error is generated by Auto CMD23.
,,1 - Not executed
,,0 - Executed
