Bit,Access,Field Name,Description
"15-08","","SDMA System Address (High)","SDMA System Address (High) - Argument 2 (High)"
"07-00","","Argument 2 (High)","SDMA System Address (High) - Argument 2 (High)"
"15-08","","SDMA System Address (Low)","SDMA System Address (Low) - Argument 2 (Low)"
"07-00","","Argument 2 (Low)","SDMA System Address (Low) - Argument 2 (Low)"
"15-08","","Block Count","Block Count"
"07-00","","Block Size","Block Size"
"15-08","","Argument 1 (High)","Argument 1 (High)"
"07-00","","Argument 1 (Low)","Argument 1 (Low)"
"15-08","","Command","Command"
"07-00","","Transfer Mode","Transfer Mode"
"15-08","","Response1","Response1"
"07-00","","Response0","Response0"
"15-08","","Response3","Response3"
"07-00","","Response2","Response2"
"15-08","","Response5","Response5"
"07-00","","Response4","Response4"
"15-08","","Response7","Response7"
"07-00","","Response6","Response6"
"15-08","","Buffer Data Port1","Buffer Data Port1"
"07-00","","Buffer Data Port0","Buffer Data Port0"
"15-08","","Present State","Present State"
"07-00","","Present State","Present State"
"15-08","","Wakeup Control","Wakeup Control"
"07-00","","Block Gap Control","Block Gap Control"
"15-08","","Power Control","Power Control"
"07-00","","Host Control 1","Host Control 1"
"15-08","","Software Reset","Software Reset"
"07-00","","Timeout Control","Timeout Control"
"15-08","","Clock Control","Clock Control"
"07-00","","Clock Control","Clock Control"
"15-08","","Error Interrupt Status","Error Interrupt Status"
"07-00","","Normal Interrupt Status","Normal Interrupt Status"
"15-08","","Error Interrupt Status Enable","Error Interrupt Status Enable"
"07-00","","Normal Interrupt Status Enable","Normal Interrupt Status Enable"
"15-08","","Error Interrupt Signal Enable","Error Interrupt Signal Enable"
"07-00","","Normal Interrupt Signal Enable","Normal Interrupt Signal Enable"
"15-08","","Host Control 2","Host Control 2"
"07-00","","Auto CMD Error Status","Auto CMD Error Status"
"15-08","","Capabilities","Capabilities"
"07-00","","Capabilities","Capabilities"
"15-08","","Capabilities","Capabilities"
"07-00","","Capabilities","Capabilities"
"15-08","","Maximum Current Capabilities","Maximum Current Capabilities"
"07-00","","Maximum Current Capabilities","Maximum Current Capabilities"
"15-08","","Maximum Current Capabilities (Reserved)","Maximum Current Capabilities (Reserved)"
"07-00","","Maximum Current Capabilities (Reserved)","Maximum Current Capabilities (Reserved)"
"15-08","","Force Event for Error Interrupt Status","Force Event for Error Interrupt Status"
"07-00","","Force Event for Auto CMD Error Status","Force Event for Auto CMD Error Status"
"15-08","","ADMA Error Status","ADMA Error Status"
"07-00","","ADMA Error Status","ADMA Error Status"
"15-08","","ADMA System Address [31:16]","ADMA System Address [31:16]"
"07-00","","ADMA System Address [15:00]","ADMA System Address [15:00]"
"15-08","","ADMA System Address [63:48]","ADMA System Address [63:48]"
"07-00","","ADMA System Address [47:32]","ADMA System Address [47:32]"
"15-08","","Preset Value","Preset Value"
"07-00","","Preset Value","Preset Value"
"15-08","","Preset Value","Preset Value"
"07-00","","Preset Value","Preset Value"
"15-08","","Preset Value","Preset Value"
"07-00","","Preset Value","Preset Value"
"15-08","","Preset Value","Preset Value"
"07-00","","Preset Value","Preset Value"
"15-08","","Shared Bus Control (High)","Shared Bus Control (High)"
"07-00","","Shared Bus Control (Low)","Shared Bus Control (Low)"
"15-08","","Host Controller Version","Host Controller Version"
"07-00","","Slot Interrupt Status","Slot Interrupt Status"
