Addr,Field,Type,Description
08h,S4MI,R/O,"Support Block Gap Interrupt Support bit of interrupt between blocks of data in 4-bit SD mode. This flag bit reports the SDIO card's ability to generate interrupts during a 4-bit multi-block data transfer. If this bit is 0, then the SDIO card is not able to signal an interrupt during a multi-block data transfer in 4-bit mode. In this case, the interrupt is not signaled until after the data transfer is complete. If this bit is 1, then the SDIO card is able to signal an interrupt between blocks while data transfer is in progress. This operation is described in 8.1.4 Note, even if a card does not support the interrupt during 4-bit block transfer (S4MI=0), the card may signal interrupts during all other Interrupt Periods while the interrupt is enabled (IENx=1). Addr: Field Type Description"
08h,E4MI,R/W,"Enable Block Gap Interrupt Enable bit of interrupt between blocks of data in 4-bit SD mode. Enable the multi-block IRQ during 4-bit transfer for the SDIO card. When this bit is 0, the card shall not signal interrupts during a 4-bit multi-block data transfer. If this bit is 1, the card shall generate interrupts during 4 bit multi-block data transfers as described in 8.1.4 If this SDIO card does not support 4 bit multi-block IRQs (S4MI=0), then this bit shall be R/O and always read as 0. This bit shall be cleared to 0 by any reset. When operating more than 25MB/sec data rate in SDR50, SDR104 or DDR50, Block Gap Interrupt shall not be used (this bit is set to 0). It is difficult for a host to use the narrow interrupt period considering propagation delay from card to host."
08h,LSC,R/O,"Low-Speed Card If this bit is set, it indicates that the SDIO card is a Low-Speed card (Refer to Section 2.1). If this bit is clear, the SDIO card is a Full-Speed card."
08h,4BLS,R/O,"4-bit Mode Support for Low-Speed Card If the SDIO card is a Low-Speed card (LSC=1) and it supports 4-bit data transfer, then this bit shall be set. If the card is not Low-Speed or if the card does not support 4-bit transfer, then this bit shall be zero. 09h-"
0Bh,Pointer to card's common CIS,R/O,Common CIS Pointer This 3-byte pointer points to the start of the card's common CIS. The common CIS contains information relation to the entire card. The card common CIS shall be located within the CIS space of function 0 (001000h- 017FFFh) as described in Section 6.11. A card common CIS is mandatory for all SDIO cards. This pointer is stored in little-endian format (LSB first).
0Ch,BS,R/O,"Bus Status If this bit is set to 1, then the currently addressed function (selected by FSx or by the function number in an I/O command) is currently executing a command which transfers data on the DAT[x] line(s). If this bit is 0, then the addressed function is not using the data bus. This bit is used by the host to determine which function of a multi-function or combo card is currently performing data transfer. Note that this bit is a part of the optional Suspend/Resume protocol. If the card does not support Suspend/Resume, this bit shall be read as 0. Any access to the CIA may not be suspended, so in this case, BS shall always be set to 1, irrespective of the host setting BR to 1. Addr: Field Type Description"
0Ch,BR,R/W,"Bus Release Request This bit is used to request that the addressed function (selected by FSx or by the function number in CMD53 or Memory commands using DAT line) release the Data lines and suspend operation. If the host sets this bit to 1, the addressed function shall temporarily halt data transfer on the DAT[x] lines and suspend the command that is in process. The BR bit shall remain set to 1 until the release is complete. If the card can never accept the suspend request while executing transactions, the card shall return response with BR cleared to 0 and BS set to 1. This indicates that the suspend request is cancelled by the card and thus the host should not issue a cancel suspend command. The followings are the cases where the card can cancel a suspend request: Transaction addressed to function 0. The card knows the transfer will terminate soon. The card knows the transfer is timing critical (i.e. If suspended, the transfer cannot proceed). A Multi function card that indicates SBS=1, but contains a function that does not support suspend/resume. Once the function is in suspend, it shall signal the host by clearing the BS and BR bits. The host can monitor the status of the suspend request by reading the BR bit. If it is set, the suspend request is still in progress. A pending suspend request can be cancelled by the host by writing 0 to the BR bit. The Standard Host Specification defines following suspend sequence: If the suspend request is not accepted, the host retries with a cancel suspend request command. Even if the card received a cancel suspend command, it should accept suspend if possible. If the card does not accept suspend, the host considers the function to have never suspend. However, the host should monitor the BR, BS and EXx bits to confirm that the suspend request was cancelled. If SBS=0, this bit shall be R/O and read as 0."
0Dh,FSx,R/W,"Select Function These four bits are used to select a function number (0-7) or the memory of a combo card (8) for Suspend/Resume. There are two methods to write the value of FSx. First, an I/O write to the register in the CCCR and second, a new I/O command that causes the FSx to be set to the function number in that command. The value of FSx shall remain until overwritten. If a function or memory is currently suspended, the writing of its number to FSx shall re-start (resume) the data transfer operation When reading FSx, the value returned shall be the number of the currently addressed function. Note that when reading FSx, if the Bus Status is 0 (BS=0), the FSx value is undefined. The FSx bits are coded as follows: FSx Current Transaction Transaction of function 0 (CIA) 0001-0111 Transaction to functions 1-7 Transaction of memory in combo card 1001-1111 Not defined, reserved for future use If SBS=0 these bits shall be R/O. Addr: Field Type Description"
0Dh,DF,R/O,"Data Flag A data transaction is resumed by writing its number to FSx. Once the transaction is resumed, the DF indicates if more data will be transferred. If DF is cleared to 0, then no additional data will be transferred after the function or memory is resumed. If DF is set to 1, then there is more data to transfer that will begin after the function or memory in resumed. The DF flag can be used to control the interrupt cycle in 4-bit mode. If DF=1, there is more data to transfer after restoring the function. In this case, the interrupt cycle should be disabled. If DF=0, the function or memory was suspended at end of data transfer (during busy). In this case, no data transfer shall begin after resume so the host can detect a start interrupt cycle after restore. When resuming, if the suspended function cannot continue data transfer the card shall return DF=0 to abort the transfer."
0Eh,EXx,R/O,Execution Flag These 8 bits are used by the host to determine the current execution status of all functions (1-7) and memory (0). The bit is set to 1 for each function or memory that is currently executing a command. The EXx bits tell the host that a function or memory is currently executing a command so no additional command should be issued to that function/memory. These bits are only defined if SBS=1. This bit is set if the function is active. If SBS=0 these bits shall be read as zero.
0Fh,RFx,R/O,"Ready Flag These 8 bits tell the host the read or write busy status for functions (1-7) and memory (0). If a function or memory is executing a write transaction, an RFx bit cleared to 0 indicates the function/memory is busy and not ready to accept more data. If the RFx bit is set to 1, then the function/memory can accept write data. If a function/memory is executing a read command, if the RFx bit is cleared to 0, it indicates that read data is NOT available. If the bit is set to 1, it indicates that read data is ready to be transferred. These bits are only defined if SBS=1. Setting a bit to 1 indicates the function is ready to accept the resume command. There are two conditions where the function will set the bit to 1. One is when the function (executing or suspended) is ready to continue data transfer. The second is when the suspended function cannot continue data transfer. If SBS=0 these bits shall be read as zero. 10h-"
11h,FN0 Block Size,R/W,"Block Size for Function 0 This 16-bit register sets the block size for I/O block operations for Function 0 only. If this card does not support I/O block operations (SMB=0), then this register becomes read-only and shall always read 0000h. The maximum block size is 2048 (0800h) and the minimum is 1. At power-up or reset, this register shall be initially loaded with a value of 0000h. The host is responsible for setting the appropriate value for the block size supported by function 0. This pointer is stored in little-endian format (LSB first)."
12h,SMPC,R/O,"Support Master Power Control These bits tell the host if the card supports Master Power Control. SMPC=0: The total card power is up to 720mW (3.6Vx200mA), even if all functions are active (IOEx=1). EMPC, SPS and EPS shall be zero. SMPC=1: The total card power may exceed 720mW (3.6Vx200mA). Controls of EMPC, SPS and EPS are available. Addr: Field Type Description"
12h,EMPC,R/W,"Enable Master Power Control EMPC=0 (default): The total card power shall be up to 720mW (3.6Vx 200mA). The card automatically switches the mode of function(s) to lower current or does not allow some functions to become enabled, regardless of the value of EPS, so that total card power is 720mW or less. (The card manufacturer determines which functions operate and their modes to guarantee this limit.) EMPC=1: The total card power may exceed 720mW and SPS and EPS are available. The host uses SPS, EPS in FBR and IOEx to enable higher current function modes based on the host's ability to supply the necessary current. If PS[3:0]=0 (Ver1.10 compatible), two power modes can be selected by using SPS, EPS in FBR for an SDIO Card supporting 2.7V-3.6V Power supply range. PS[3:0] >0 is defined by Ver3.00 Power Control Extension (Applicable to multiple voltages device)."
13h,SHS,R/O,Support High-Speed This flag bit reports the card's ability to operate in High-Speed mode SHS=0: The card does not support High-Speed mode SHS=1: The card supports High-Speed mode. The host enables High-Speed mode via the EHS bit. Refer to Chapter 12 for details on switching between default and High-Speed mode.
13h,BSSx,R/W,"Bus Speed Select This field is used to select bus speed mode. This field shall be set by CMD52 and the new bus speed mode is changed within 8 clock cycles after the response of CMD52. Refer to Section 12 for details on switching between default and High-Speed mode. If the card is initialized in 3.3V signaling, then BSS0 is effective. When SHS is set to 0, writing to this bit is ignored and always indicates 0. The card operates in High-Speed timing mode with a clock rate up to 50MHz. BSS[2:0] Bus Speed 3.3V Max. Clock Frequency xx0b: Default Speed 25MHz xx1b: High Speed 50MHz If the card is initialized in 1.8V signaling, then BSS[2:0] is effective. A card that supports UHS-I shall support High Speed mode and SHS shall be set to 1. One of the UHS-I modes is selected as follows. BSS[2:0] Bus Speed 1.8V Max Clock Frequency 000b: SDR12 25MHz 001b: SDR25 50MHz 010b: SDR50 100MHz 011b: SDR104 208MHz 100b: DDR50 50MHz 101b-111b: Reserved"
14h,SSDR50,R/O,"Support SDR50 This bit indicates support of SDR50. If this bit is set to 1, SDR12 and SDR25 shall be supported. High Speed mode in 3.3V signaling also shall be supported. Support bit of SDR50 0b: SDR50 is not supported 1b: SDR50 is supported Addr: Field Type Description"
14h,SSDR104,R/O,"Support SDR104 This bit indicates support of SDR104. If this bit is set to 1, SDR12, SDR25 and SDR50 shall be supported. High Speed mode in 3.3V signaling also shall be supported. Support bit of SDR104 0b: SDR104 is not supported 1b: SDR104 is supported"
14h,SDDR50,R/O,"Support DDR50 This bit indicates support of DDR50. If this bit is set to 1, SDR12, SDR25 and SDR50 shall be supported. High Speed mode in 3.3V signaling also shall be supported. Support bit of DDR50 0b: DDR50 is not supported 1b: DDR50 is supported"
15h,SDTA,R/O,Support Driver Type A This bit indicates support of Driver Type A. Support bit of Driver Type A 0b: Driver Type A is not supported 1b: Driver Type A is supported
15h,SDTC,R/O,Support Driver Type C This bit indicates support of Driver Type C. Support bit of Driver Type C 0b: Driver Type C is not supported 1b: Driver Type C is supported
15h,SDTD,R/O,Support Driver Type D This bit indicates support of Driver Type D. Support bit of Driver Type D 0b: Driver Type D is not supported 1b: Driver Type D is supported
15h,DTSx,R/W,"Driver Type Select This 2-bit field is used to select driver type. Type B is defined as the default driver strength. If unsupported driver type is selected, Type B is selected. Refer to the Physical Layer Specification Version 3.0x for more detail. DTS[1:0] Driver Type Selected 00b: Type B 01b: Type A (SDTA=1) or Type B (SDTA=0) 10b: Type C (SDTC=1) or Type B (SDTC=0) 11b: Type D (SDTD=1) or Type B (SDTD=0)"
16h,SAI,R/O,"Support Asynchronous Interrupt Support bit of Asynchronous Interrupt. If the card supports asynchronous interrupt in SD 4-bit mode (interrupt can be asserted without SD clock during specified period), this bit is set to 1. Addr: Field Type Description"
16h,EAI,R/W,"Enable Asynchronous Interrupt Enable bit of Asynchronous Interrupt. When SAI is set to 0, writing to this bit is ignored and always indicates 0. This bit is effective in SD 4-bit mode. EAI Interrupt Mode 0b: Asynchronous Interrupt is disabled 1b: Asynchronous Interrupt is enabled RFU R/O Any bit defined as Reserved for Future Use (RFU) shall be read-only and shall be read as 0. Reserved for Vendors R/W These 16 registers are reserved for the manufacturer of the I/O card to be used for any operations that are defined by and specific to any vendor unique operation. Information about the use of these optional registers needs to be obtained from the SDIO card maker. Reading and/or writing these registers without understanding the vendor's definitions may cause unexpected behavior or even damage to the card. Table 6-2 : CCCR bit Definitions"
